Designator,Quantity,MPN,manufacturer,Package/Footprint,Description,Procurement Type,Customer Note
A1,1,RP2350B,Raspberry Pi,RaspberryPi_Pico_SMD,RP2350_PicoA,,
A2,1,RP2350B,Raspberry Pi,RaspberryPi_Pico_SMD,RP2350_PicoB,,
A3,1,RP2350B,Raspberry Pi,RaspberryPi_Pico_SMD,RP2350_Fwd,,
C1,1,ECPU1C104MA5,Panasonic,C_0805_2012Metric,100nF,,
J1,1,292303-7,TE Connectivity (Tyco Electronics),USB_A_TE_292303-7_Horizontal,USB_A_Host,,
J2,1,TYPE-C-31-M-12,HRO,USB_C_Receptacle_HRO_TYPE-C-31-M-12,USB_C_Host,,
R1,1,RC0805JR-07470RL,Yageo,R_0805_2012Metric,470R,,
R2,1,RK73B2ATTD681J,KOA,R_0805_2012Metric,680R,,
"R4,R3",2,RN73H2ATTD5602B25,KOA,R_0805_2012Metric,56k,,
U1,1,6N137,Slkor,SOIC-8_3.9x4.9mm_P1.27mm,6N137,,
U2,1,USBLC6-2SC6,UMW,SOT-23-6,USBLC6-2SC6,,
