Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,RP2350_PicoA,RaspberryPi_Pico_SMD,32.0,-30.085,0.0,top
A2,RP2350_PicoB,RaspberryPi_Pico_SMD,32.0,-30.085,0.0,bottom
A3,RP2350_Fwd,RaspberryPi_Pico_SMD,69.0,-30.085,0.0,top
C1,100nF,C_0805_2012Metric,55.0,-40.0,0.0,top
J1,USB_A_Host,USB_A_TE_292303-7_Horizontal,10.46,-16.0,-90.0,top
J2,USB_C_Host,USB_C_Receptacle_HRO_TYPE-C-31-M-12,6.5025,-41.0,-90.0,top
R1,470R,R_0805_2012Metric,46.0,-22.0,0.0,top
R2,680R,R_0805_2012Metric,56.0,-22.0,0.0,top
R3,56k,R_0805_2012Metric,16.0,-31.0,0.0,top
R4,56k,R_0805_2012Metric,16.0,-33.5,0.0,top
U1,6N137,SOIC-8_3.9x4.9mm_P1.27mm,51.0,-26.0,0.0,top
U2,USBLC6-2SC6,SOT-23-6,16.0,-27.5,0.0,top
